Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Net bilateral aid flows from DAC donors, Denmark (current US$)",,,,,,,,,,,,,,220000,920000,400000,70000,1340000,260000,260000,680000,190000,320000,540000,280000,910000,5800000,7960000,9210000,8100000,7750000,9400000,9290000,16320000,27030000,23660000,23010000,17960000,22920000,23800000,24950000,26050000,25370000,40050000,34250000,27540000,32690000,49480000,46340000,43070000,38120000,33170000,41410000,27310000,,
"Net bilateral aid flows from DAC donors, Spain (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,,,,10000,40000,50000,90000,40000,80000,40000,30000,20000,40000,90000,100000,190000,140000,2850000,49620000,240000,220000,70000,80000,,
"Net bilateral aid flows from DAC donors, Finland (current US$)",,,,,,,,,,,,,20000,,,,20000,,10000,10000,60000,10000,60000,1880000,2990000,3830000,5290000,9930000,6170000,18450000,15540000,17990000,16090000,5920000,6400000,6100000,5480000,6650000,13040000,5710000,5550000,4680000,5600000,5300000,6240000,8960000,8120000,12310000,17220000,19950000,22430000,26090000,23790000,27210000,,
"Net bilateral aid flows from DAC donors, France (current US$)",,,,,,,,,,,,,,,,,,,,,300000,180000,3210000,2030000,2470000,1760000,3480000,2210000,5510000,17630000,33960000,14740000,21590000,6020000,3930000,2940000,1950000,3450000,3150000,1990000,1970000,-610000,-1920000,-870000,-2240000,-2230000,-2380000,-2420000,-2770000,-3410000,-3160000,-3350000,-2080000,-2210000,,
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",170000,190000,290000,1390000,1190000,90000,1060000,1140000,540000,2200000,1000000,4320000,5640000,5420000,7250000,4860000,2960000,7250000,8330000,23450000,15610000,16050000,16580000,11030000,11310000,12380000,14400000,16260000,19060000,28180000,25780000,33470000,25180000,17500000,23970000,25550000,23340000,28600000,28020000,26420000,23010000,33150000,36920000,53100000,65790000,61630000,74810000,95000000,98620000,103220000,105190000,104070000,110150000,145920000,,
"Net bilateral aid flows from DAC donors, Greece (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,,50000,,,10000,10000,10000,20000,40000,30000,50000,60000,100000,70000,30000,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,20000,40000,40000,30000,10000,20000,30000,40000,130000,220000,270000,320000,280000,200000,160000,140000,160000,340000,310000,550000,520000,950000,1680000,2360000,1210000,470000,890000,660000,530000,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,
"Net bilateral aid flows from DAC donors, Italy (current US$)",,,,,,,,,,,10000,,,10000,10000,10000,,,,10000,,10000,10000,930000,180000,900000,4730000,820000,1110000,1770000,110000,480000,470000,30000,1510000,60000,180000,250000,10000,170000,250000,360000,70000,270000,280000,10000,10000,100000,120000,320000,290000,390000,330000,290000,,
"Net bilateral aid flows from DAC donors, Japan (current US$)",10000,10000,30000,30000,20000,90000,70000,70000,80000,180000,220000,570000,780000,1250000,1490000,2700000,2710000,4710000,9530000,19660000,24260000,33070000,35220000,28310000,28520000,50740000,68060000,76770000,62350000,77390000,55170000,127550000,106670000,110890000,118750000,127600000,88790000,86140000,56890000,65590000,99930000,84390000,97450000,60610000,56430000,63380000,41660000,48640000,33930000,45280000,81210000,63470000,47540000,40770000,,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,20000,20000,300000,30000,1280000,730000,750000,1070000,1020000,3570000,5490000,2330000,1620000,2130000,1530000,1680000,1780000,2040000,4980000,4690000,18070000,20780000,20970000,20770000,17090000,,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,120000,80000,150000,190000,260000,410000,1030000,300000,730000,300000,10000,120000,620000,1160000,690000,850000,2060000,1960000,1350000,780000,1020000,1920000,2120000,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",,,,,,,,,,,140000,200000,350000,170000,90000,230000,250000,1910000,830000,4250000,1490000,1540000,5450000,4080000,1610000,2450000,3310000,4380000,5070000,4600000,5920000,4990000,4940000,7150000,8310000,8500000,11350000,10850000,11480000,6100000,5740000,13420000,7290000,9900000,14100000,12040000,4200000,3300000,2440000,3060000,,300000,140000,150000,,
"Net bilateral aid flows from DAC donors, Norway (current US$)",,,,,30000,,,,70000,20000,,,50000,300000,420000,180000,400000,380000,570000,410000,320000,820000,2460000,1590000,1420000,1960000,3910000,3070000,3760000,4980000,9750000,5830000,8580000,7100000,5150000,3760000,11200000,7670000,8810000,7400000,8910000,11490000,13110000,20220000,23020000,25120000,40960000,40900000,41900000,45310000,47210000,49400000,40630000,32440000,,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",,,,,,,,,,,,,10000,20000,220000,260000,470000,400000,450000,350000,620000,170000,120000,30000,20000,40000,80000,120000,60000,120000,110000,120000,110000,250000,280000,480000,430000,760000,400000,520000,440000,470000,520000,780000,1570000,1400000,1240000,1680000,1890000,1770000,560000,1620000,1280000,740000,,
"Net bilateral aid flows from DAC donors, Poland (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,30000,30000,50000,40000,70000,60000,,20000,,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,10000,10000,,,,,,,,
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,
"Net bilateral aid flows from DAC donors, Sweden (current US$)",,,,,,,,70000,10000,10000,,,,,40000,,,,,100000,,180000,230000,,60000,,,,,,,1140000,30000,1520000,540000,1580000,1540000,1190000,1110000,1030000,1230000,13640000,3600000,1210000,1050000,1150000,2110000,-17740000,2530000,1320000,1760000,1840000,1570000,2060000,,
"Net bilateral aid flows from DAC donors, Total (current US$)",8180000,10250000,8320000,15680000,18500000,16950000,14220000,13010000,10060000,8750000,20360000,19260000,24660000,25420000,20520000,28940000,29200000,37530000,40070000,82400000,84020000,90120000,112700000,111520000,104580000,125690000,171920000,194260000,228460000,250950000,242870000,293830000,277330000,252840000,274010000,271090000,243370000,242680000,220630000,220260000,248330000,282960000,294930000,338100000,342290000,357070000,359930000,410310000,482300000,548860000,522040000,522830000,548530000,539000000,,
"Net bilateral aid flows from DAC donors, United States (current US$)",8000000,10000000,8000000,14000000,17000000,15710000,11570000,10930000,8410000,5000000,17000000,10000000,13000000,10000000,6000000,7000000,15000000,10000000,4000000,5000000,8000000,12000000,19000000,22000000,22000000,21000000,17000000,20000000,15000000,14000000,17000000,14000000,18000000,20000000,20000000,19000000,15000000,21000000,16910000,16660000,15950000,20230000,32600000,37800000,35370000,52050000,61530000,54030000,77650000,73500000,51910000,65450000,65890000,72340000,,
"PPG, bilateral (AMT, current US$)",,,,,,,,,,,2449000,255000,304000,419000,470000,602000,665000,699000,286000,221000,223000,211000,186000,1193000,1294000,1250000,2254000,2868000,3468000,3489000,4150000,7248000,9493000,11367000,11507000,16260000,9156000,15420000,15652000,21569000,22356000,23817000,25522000,28597000,26634000,23871000,35895000,31762000,33047000,33846000,35115000,29887000,42262000,29040000,27628000,24512000
"PPG, bilateral concessional (AMT, current US$)",,,,,,,,,,,866000,255000,304000,412000,463000,489000,542000,488000,114000,85000,90000,79000,73000,1029000,1117000,1250000,2254000,2504000,2741000,2762000,3231000,5544000,7920000,10221000,11029000,16260000,9156000,15420000,15652000,21569000,21892000,23817000,25522000,28597000,26634000,23871000,35895000,31762000,33047000,33846000,35115000,29887000,42262000,29040000,,
"IMF repurchases (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,8282000,1273000,645000,824000,5325000,5627000,6746000,7660000,3195000,3478000,3147000,8680000,12206000,5463000,1093000,2083000,5342000,7923000,7581000,7186000,6579000,5876000,4358000,4264000,4452000,3167000,834000,0,0,0,0,2249000,4381000,4497000,10346000,15224000,,
"Principal repayments on external debt, long-term + IMF (AMT, current US$)",,,,,,,,,,,2449000,255000,304000,419000,633000,1345000,1236000,2134000,9936000,3061000,2746000,3059000,7896000,9144000,10858000,13536000,15274000,18489000,25044000,33261000,39962000,34000000,35927000,38565000,47554000,52869000,46766000,64137000,61144000,75662000,71190000,66406000,75436000,82996000,85580000,85309000,104508000,112800000,126638000,142744000,153854000,158404000,185448000,180112000,,
"Principal repayments on external debt, long-term (AMT, current US$)",,,,,,,,,,,2449000,255000,304000,419000,633000,1345000,1236000,2134000,1654000,1788000,2101000,2235000,2571000,3517000,4112000,5876000,12079000,15011000,21897000,24581000,27756000,28537000,34834000,36482000,42212000,44946000,39185000,56951000,54565000,69786000,66832000,62142000,70984000,79829000,84746000,85309000,104508000,112800000,126638000,140495000,149473000,153907000,175102000,164888000,172733000,179393000
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",,,,,,,,,,,2449000,255000,304000,419000,633000,1345000,1236000,2134000,1654000,1788000,2101000,2235000,2571000,3517000,4112000,5876000,12079000,15011000,21897000,24581000,27756000,28537000,34834000,36482000,42212000,44946000,39185000,56951000,54565000,69786000,66832000,62142000,70984000,79829000,84746000,85309000,104508000,112800000,126638000,140495000,149473000,153907000,175102000,164888000,,
"PPG, IBRD (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, IDA (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,3000,17000,40000,56000,160000,320000,323000,870000,1110000,1504000,1892000,2266000,2883000,3219000,3658000,5401000,6921000,7940000,9053000,10999000,13680000,15568000,17002000,19535000,22309000,26660000,30376000,30798000,34347000,38591000,40672000,43394000,45270000,46795000,48396000,,
"PPG, multilateral (AMT, current US$)",,,,,,,,,,,0,0,0,0,163000,743000,571000,805000,1368000,1567000,1878000,2024000,2358000,2220000,2728000,3319000,4515000,5537000,6311000,7361000,10145000,12665000,16578000,16814000,22514000,23753000,26341000,27765000,26315000,35567000,37079000,38155000,45125000,50839000,57641000,60781000,68146000,80501000,93077000,106120000,113869000,123504000,132343000,135345000,144353000,154129000
"PPG, multilateral concessional (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,568000,383000,602000,1150000,1332000,1565000,1812000,2065000,2220000,2728000,3319000,4515000,5537000,6311000,7361000,10145000,12128000,15128000,14889000,20043000,23753000,26341000,27765000,26315000,33348000,37079000,38155000,45125000,50839000,57641000,60781000,68146000,80501000,93077000,106120000,113869000,123504000,132343000,135345000,,
"PPG, official creditors (AMT, current US$)",,,,,,,,,,,2449000,255000,304000,419000,633000,1345000,1236000,1504000,1654000,1788000,2101000,2235000,2544000,3413000,4022000,4569000,6769000,8405000,9779000,10850000,14295000,19913000,26071000,28181000,34021000,40013000,35497000,43185000,41967000,57136000,59435000,61972000,70647000,79436000,84275000,84652000,104041000,112263000,126124000,139966000,148984000,153391000,174605000,164385000,171981000,178641000
"PPG, bonds (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, commercial banks (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250000,2250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PNG, bonds (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PNG, commercial banks and other creditors (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, other private creditors (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,630000,0,0,0,0,27000,104000,90000,1307000,3060000,4356000,12118000,13731000,13461000,8624000,8763000,8301000,8191000,4933000,3688000,13766000,12598000,12650000,7397000,170000,337000,393000,471000,657000,467000,537000,514000,529000,489000,516000,497000,503000,752000,752000
"PPG, private creditors (AMT, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,630000,0,0,0,0,27000,104000,90000,1307000,5310000,6606000,12118000,13731000,13461000,8624000,8763000,8301000,8191000,4933000,3688000,13766000,12598000,12650000,7397000,170000,337000,393000,471000,657000,467000,537000,514000,529000,489000,516000,497000,503000,752000,752000
"Principal arrears, public and publicly guaranteed (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934000,2303000,3064000,4280000,6076000,6176000,8392000,7061000,5945000,8092000,9930000,8594000,8629000,843000,120000,78000,0,0,0,0,0,0,0,0,0,0,0,0,,
"Principal arrears, official creditors (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934000,2303000,3064000,4280000,6076000,5990000,7866000,5512000,2917000,3365000,4399000,4045000,4814000,464000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Principal arrears, private creditors (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186000,526000,1549000,3028000,4727000,5531000,4549000,3815000,379000,120000,78000,0,0,0,0,0,0,0,0,0,0,0,0,,
Principal forgiven (current US$),,,,,,,,,,,0,0,0,0,0,0,0,2303000,23924000,0,2998000,0,0,0,0,5000,0,0,35000,0,0,9140000,2169000,0,0,0,0,0,0,1987000,0,0,0,0,0,0,0,0,0,0,382000,0,4650000,614000,,
Principal rescheduled (current US$),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Principal rescheduled, official (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Principal rescheduled, private (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Commitments, public and publicly guaranteed (COM, current US$)",,,,,,,,,,,17085000,5987000,26318000,21961000,25165000,16830000,117741000,60650000,101830000,65987000,92180000,111455000,112781000,192871000,105282000,218675000,202919000,449529000,235292000,343543000,237961000,68601000,307835000,57179000,110272000,89029000,339439000,190736000,84439000,86716000,85843000,261328000,118622000,271513000,232657000,194952000,165962000,130563000,84368000,183299000,435341000,475152000,219077000,553808000,,
"Commitments, IBRD (COM, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Commitments, IDA (COM, current US$)",,,,,,,,,,,2500000,0,4200000,11500000,13800000,0,46000000,33000000,64200000,25800000,60000000,31786000,28665000,45296000,67215000,129917000,80143000,94126000,68265000,193184000,51307000,61919000,178600000,0,97200000,0,0,145850000,0,84500000,0,0,22560000,141400000,153800000,0,0,0,17000000,155910000,117700000,247260000,82000000,245024000,,
"Commitments, official creditors (COM, current US$)",,,,,,,,,,,17085000,5987000,26318000,21961000,25165000,16830000,117741000,60650000,101830000,65987000,92180000,106460000,112781000,179871000,102436000,204468000,193046000,350783000,228987000,343396000,237961000,68601000,307835000,57179000,110272000,89029000,339439000,190736000,84439000,86716000,85843000,261328000,118622000,271513000,232485000,194952000,165962000,130344000,84368000,183299000,435341000,475152000,219077000,553808000,,
"Commitments, private creditors (COM, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4995000,0,13000000,2846000,14207000,9873000,98746000,6305000,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172000,0,0,219000,0,0,0,0,0,0,,
"Currency composition of PPG debt, Deutsche mark (%)",,,,,,,,,,,14.9961,6.9338,14.0652,12.3607,10.855,9.7337,9.9622,7.1652,0,0,0,0.3366,1.0231,1.4132,1.265,1.5203,1.5102,1.4038,1.054,0.9354,0.872,0.7499,0.603,0.4131,0.2851,0.2885,0.265,0.2264,0.217,0.0906,0.0848,,,,,,,,,,,,,,,
"Currency composition of PPG debt, Euro (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0209,2.2893,2.4479,2.2985,2.1099,2.1272,2.0564,1.7297,1.6376,1.391,1.2116,1.0714,0.9203,,
"Currency composition of PPG debt, French franc (%)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.2366,0.1719,0.7249,0.9102,0.9015,1.4144,1.6182,1.3989,1.375,1.6925,2.0417,1.5633,1.3325,1.16,1.9318,1.9155,1.7788,1.6197,1.5191,1.4169,1.6273,,,,,,,,,,,,,,,
"Currency composition of PPG debt, Japanese yen (%)",,,,,,,,,,,0,0,0.1381,0.6765,0.94,3.1015,2.201,1.3764,2.2205,3.8533,7.8713,6.9214,6.185,6.3743,5.9875,8.0243,10.0602,11.3572,9.914,9.0213,8.4887,9.8987,9.5969,11.7472,12.3009,11.278,9.8687,10.9534,10.6385,10.2382,9.1939,8.0595,7.5272,7.5147,7.187,8.8928,7.7014,7.1074,7.9829,7.1608,7.3862,7.0795,5.5028,3.953,,
"Currency composition of PPG debt, Multiple currencies (%)",,,,,,,,,,,2.8677,12.2625,18.7779,26.7559,36.59,41.9538,49.9594,40.5047,42.5741,36.7272,31.1858,28.5015,28.7022,29.0222,32.1903,33.3851,31.1375,27.0191,26.2104,28.2944,32.8527,34.4877,34.5772,35.2412,36.0997,35.9794,36.1263,36.1703,37.3708,42.8392,41.6606,40.2264,41.7584,36.8073,35.9605,33.4472,31.5234,30.6716,30.3644,29.3351,27.8742,26.3799,25.2152,23.2653,,
"Currency composition of PPG debt, all other currencies (%)",,,,,,,,,,,38.5161,25.7153,17.3885,17.8521,16.5421,12.941,10.2754,10.1045,12.8907,11.943,10.8381,12.2809,9.6549,7.781,5.7689,4.941,4.5625,4.032,3.526,3.1176,2.6844,2.2859,1.9704,1.6016,1.2255,0.9949,1.0546,0.8503,0.9919,1.6651,1.6719,1.7653,1.4638,1.0506,1.0634,1.1343,1.0049,0.8561,0.6841,1.1056,1.5003,2.1156,3.1191,3.3487,,
"Currency composition of PPG debt, SDR (%)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3921,0.6033,1.0863,1.7309,1.8895,2.1883,2.424,2.5116,2.7016,2.5037,2.3283,2.4058,3.2063,5.0176,6.4375,7.0539,7.3357,6.6704,6.6576,6.7316,6.5705,8.6159,10.1683,10.8007,13.414,15.7839,16.667,18.3269,19.9077,21.3991,21.8749,22.8635,,
"Currency composition of PPG debt, Swiss franc (%)",,,,,,,,,,,0,0,0,0,0,0.682,0.7232,2.8567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Currency composition of PPG debt, Pound sterling (%)",,,,,,,,,,,37.3849,50.3931,45.2263,31.6952,23.3396,16.1894,10.0387,5.8059,0,0,0.159,0.6525,0.6843,0.5813,0.3862,0.4363,0.3628,0.3492,0.2819,0.2127,0.2021,0.175,0.1362,0.1196,0.1098,0.1017,0.1102,0.1053,0.0944,0.0794,0.0678,0.0673,0.0653,0.0653,0.0651,0.059,0.0613,0.0564,0.0379,0.0401,0.0378,0.0343,0.03,0.0275,,
"Currency composition of PPG debt, U.S. dollars (%)",,,,,,,,,,,6.2352,4.6953,4.404,10.6596,11.7333,15.3986,16.8401,32.1866,42.3147,47.4765,49.4989,50.6793,52.1441,52.9793,52.1798,48.3204,48.6373,52.0488,55.0615,54.0752,50.0276,48.2201,48.9253,46.8723,44.4067,43.9836,43.9517,42.4249,41.2752,36.5877,38.5953,41.129,40.3255,43.4983,43.2572,43.5561,44.1678,43.4682,42.534,42.3939,41.9028,41.78,43.1866,45.6217,,
Debt forgiveness or reduction (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-9140000,-2169000,0,0,0,0,0,0,-1987000,0,0,0,0,0,0,0,0,0,0,-382000,0,-4650000,-614000,,
"PPG, bilateral (DIS, current US$)",,,,,,,,,,,366000,4124000,2577000,3385000,1667000,2238000,1201000,6614000,15371000,6196000,13796000,14570000,5251000,7168000,6735000,10439000,29116000,17787000,12589000,30603000,20213000,32399000,11401000,47085000,40741000,13224000,6466000,80948000,9911000,45054000,11371000,9032000,5248000,2366000,16701000,106394000,5674000,6223000,1915000,23165000,30915000,26585000,32755000,44694000,42844000,35338000
